year,country,"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, tertiary (% gross)",Internet Users(%),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
2018,EGY,71.367,1.89893076814734,38.9049491882324,46.92433548,2531.20007864537,14.4014657807421
2017,EGY,71.302,1.98976849465685,35.1645202636719,44.95020294,2439.96728439968,29.5066083940039
2016,EGY,70.844,2.08630284573945,33.8589096069336,41.24806595,3331.61246134688,13.8136062148289
2015,EGY,70.483,2.20525980686911,35.0281295776367,37.81938171,3370.38244716015,10.370490343517
2014,EGY,70.415,2.34379305041137,31.0681095123291,33.89460373,3196.86138078687,10.0702154687482
2013,EGY,70.052,2.31570750353087,30.1178493499756,29.39999962,3088.8908340843,9.4697198106492
2012,EGY,70.085,2.26158734403113,27.7280406951904,26.39999962,3059.13542779204,7.11172943343078
2020,USA,76.9804878048781,0.964347900193196,87.5676574707031,90.90000153,63528.6343027508,1.23358439630637
2019,USA,78.7878048780488,0.455381285963537,87.8887100219727,89.43028259,65120.3946628653,1.81221007526015
2018,USA,78.6390243902439,0.526435395564053,88.2991790771484,88.49890137,62823.309438197,2.44258329692818
2017,USA,78.5390243902439,0.63264399508256,88.1673889160156,87.27488708,59907.754260885,2.13011000365963
2016,USA,78.5390243902439,0.724676067451429,88.8350524902344,85.54441833,57866.7449341091,1.26158320570537
2015,USA,78.690243902439,0.73621730882542,88.8894119262695,74.55419922,56762.7294515989,0.118627135552435
2014,USA,78.8414634146341,0.733361519937424,88.6268692016602,73.0,55123.8497869046,1.62222297740821
2013,USA,78.7414634146342,0.692860276624581,88.7264175415039,71.40000153,53291.1276891406,1.46483265562714
2020,COL,74.769,1.47010203160178,54.2392883300781,69.79000092,5304.28912886637,2.52663500084712
2019,COL,76.752,1.83074694246543,54.9765205383301,65.00689697,6436.50921529531,3.52301932741443
2018,COL,76.748,1.89558675057496,55.3274917602539,64.12637329,6782.0379203319,3.24056932930567
2017,COL,76.646,1.51228960592288,56.4340286254883,62.25988007,6449.97098726073,4.31431325695007
