country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)",Gini index,"Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Current health expenditure (% of GDP),"Hospital beds (per 1,000 people)",Domestic private health expenditure per capita (current US$),Current health expenditure per capita (current US$),"Mortality caused by road traffic injury (per 100,000 population)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),"Literacy rate, adult total (% of people ages 15 and above)",Control of Corruption: Estimate,Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (gross), gender parity index (GPI)","School enrollment, tertiary (% gross)",Internet Users(%)
EGY,2022,,,,42.967,57.033,1.56907383039584,13.8956609775178,,10.4257892435745,476747720364.742,4295.40749561014,4.92845618453779,460984520364.742,,,,,,97.5287500099944,,,,1.06181004427704,34650455927.0517,,13.6071036917733,,82.5221549250877,,,
EGY,2021,72.608,70.221,67.935,42.862,57.138,1.65838367949689,5.21404940513043,,4.84715643244111,424671765455.704,3886.7224983901,1.59181628823586,412272565455.704,,,,,,97.5246503198928,,73.0899963378906,-0.684838116168976,1.12200927143154,32096876991.7145,100.0,14.3218351399249,102.75,86.0050126817847,,,
EGY,2020,73.39,70.99,68.667,42.783,57.217,1.73312957205986,5.04493288977533,,6.17693409847959,383817841547.099,3571.5569065135,1.77096873118488,372463841547.099,4.36497974,,101.03565118,150.90655518,,97.5215610615812,,,-0.789791584014893,1.12247550332399,28939488459.1391,100.0,18.0708586659504,103.76,83.6459383025063,,,71.91419983
EGY,2019,73.711,71.358,69.049,42.73,57.27,1.79400212546566,9.15279959324812,31.9,13.6180959109963,318678815489.749,3017.25833578941,3.67537083093788,307669215489.749,4.83619261,,102.81981418,145.3107605,10.1,97.2005582635653,,,-0.634925246238709,1.18097179684711,23217539863.3257,100.0,16.5735754110998,100.61,80.4967834167262,,,57.28286743
EGY,2018,73.927,71.367,68.875,42.704,57.296,1.89893076814734,14.4014657807421,,21.1748208164537,262588632526.73,2531.20007864537,3.34981502229806,256309032526.73,4.99379301,,85.21002479,120.22325897,10.3,96.8810007737248,,,-0.492103576660156,1.24996619642133,20855374226.224,100.0,15.793586588373,96.32,83.2904719043333,1.04445004463196,38.9049491882324,46.92433548
EGY,2017,73.974,71.302,68.712,42.705,57.295,1.98976849465685,29.5066083940039,31.5,29.5184798346032,248362771739.13,2439.96728439968,2.12874338092026,243794271739.13,5.63305616,1.43,74.20200016,107.98847961,10.6,96.5629903922749,,71.1682510375977,-0.473245531320572,1.42203170028818,23790760869.5652,100.0,17.6054751585578,100.98,86.0800350118986,1.03349995613098,35.1645202636719,44.95020294
EGY,2016,73.552,70.844,68.233,42.732,57.268,2.08630284573945,13.8136062148289,,6.24566313377449,332441717791.411,3331.61246134688,2.19220862672367,327970017791.411,5.36399794,1.43,98.96732974,145.2776947,9.8,96.2465784166378,,,-0.569078922271729,1.66660515243227,37987730061.3497,100.0,20.2488016475217,98.77,83.0885066804458,1.02232003211975,33.8589096069336,41.24806595
EGY,2015,73.081,70.483,67.967,42.785,57.215,2.20525980686911,10.370490343517,31.8,9.93088973035987,329366576819.407,3370.38244716015,2.09553830616973,323665676819.407,5.33657265,1.56,118.95519047,173.5194397,11.7,95.9318698997967,,,-0.578130006790161,1.72314742829085,38733153638.814,99.3,20.6105437069273,101.5,82.4297229837555,0.961489975452423,35.0281295776367,37.81938171
EGY,2014,73.163,70.415,67.773,42.839,57.161,2.34379305041137,10.0702154687482,,11.247624503787,305595408895.265,3196.86138078687,0.53182406954582,298332708895.265,5.02518892,1.56,109.30437447,158.20581055,12.3,95.6177859083195,,,-0.575114548206329,1.68969483568075,36212338593.9742,99.8,16.7526279497439,99.73,82.9389671361502,0.894159972667694,31.0681095123291,33.89460373
EGY,2013,72.82,70.052,67.398,42.893,57.107,2.31570750353087,9.4697198106492,,8.71267457488449,288434108527.132,3088.8908340843,-0.153662237734494,281027708527.132,4.91730928,,100.63437167,142.59768677,10.5,95.3042855607555,,72.442497253418,-0.613801896572113,1.61005697699419,32744186046.5116,99.8759384155273,15.8995103581985,96.03,80.7729520533219,0.892719984054565,30.1178493499756,29.39999962
EGY,2012,72.745,70.085,67.513,42.946,57.054,2.26158734403113,7.11172943343078,28.3,19.482877469415,279116666666.667,3059.13542779204,-0.0597877604862731,272637266666.667,4.71025944,,101.236095,142.75941467,10.2,94.9913271486837,,73.865592956543,-0.579664349555969,1.64817579267929,31200000000.0,99.7,13.7284234120118,98.36,80.7129635158536,0.894630014896393,27.7280406951904,26.39999962
EGY,2011,72.605,69.88,67.253,43.0,57.0,2.20764281063758,10.0649259874818,,11.6629763507331,235989672977.625,2645.6225349104,-0.45740935916686,229940172977.625,4.35707569,,77.84266052,118.69612122,13.0,94.6790002685632,,,-0.633263945579529,1.83702555925574,27022375215.1463,99.4355773925781,14.2059161149141,93.27,75.5670629421632,0.909900009632111,26.817720413208,25.60000038
EGY,2010,72.318,69.664,67.096,43.019,56.981,2.02763965508429,11.2651882653186,30.2,10.1068646295718,218983666061.706,2509.77203417522,3.03669718542578,214618966061.706,4.15319157,1.73,71.35574972,107.41892242,13.7,94.3654653837058,,72.0478515625,-0.596871852874756,1.95296704226796,24446460980.0363,99.3571548461914,16.5421170639327,90.0,74.5731808387204,0.916220009326935,31.4172401428223,21.60000038
