country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (% gross)"
ZAF,2022,,,,68.335,31.665,0.841058243677696,7.03972661255875,5.0542926833629,405869718462.343,6776.48007742932,1.18766321355079,397438791875.07,0.739893648166575,79496442883.7697,,10.3922243694966,,63.094094695039,
ZAF,2021,64.999,62.341,59.458,67.847,32.153,0.998920418563044,4.61167217803201,6.21901712135855,419015636064.711,7055.05517621298,3.87031528861255,410990696467.047,0.809812625998238,82324695218.9751,89.3,9.65735993643473,114.31,61.6743179476828,
ZAF,2020,67.964,65.252,62.178,67.354,32.646,1.22317929511453,3.21003597454107,5.69261529432792,337619569570.511,5741.64124877252,-7.48109276223047,331987489466.422,0.957516706073716,70199526644.9049,90.0,11.8465597035344,111.39,62.5247087792199,24.2362995147705
ZAF,2019,69.107,66.175,62.834,66.856,33.144,1.29507386292128,4.12024587014984,4.63808148407834,388531226582.351,6688.77474649645,-0.987175236408163,378847404290.207,0.884244501867417,76443998478.7495,85.0,10.9754562147879,104.54,63.9314147699737,23.8665599822998
ZAF,2018,68.74,65.674,62.203,66.355,33.645,1.22553003994341,4.51716522786587,3.74575414001824,404158882459.024,7048.50811239074,0.285735634105151,392870093729.482,0.897196371938879,78451142926.4265,84.7,11.1095317645991,104.32,63.9030143916542,23.8019599914551
ZAF,2017,68.43,65.402,61.954,65.85,34.15,0.387278487857363,5.18424664766131,5.47332197481477,381448814653.456,6734.47515312493,0.766941613003056,370872982190.206,0.943568494750462,73375788190.4018,84.4,10.896464687171,105.85,63.0089707732236,22.3660297393799
ZAF,2016,67.794,64.747,61.307,65.341,34.659,0.97200398206436,6.57139642173959,6.9521719608848,323585509674.481,5735.06678717842,-0.309171167254917,315294078694.387,0.971046764986093,62476471785.5977,83.9,11.1621285328149,96.06,63.2810689700761,20.9184494018555
ZAF,2015,66.781,63.95,60.709,64.828,35.172,2.07401685853513,4.54064227737914,5.54552812339873,346709790458.563,6204.92990145846,-0.75792811406113,338766618711.13,1.00692862196088,65823101021.9047,85.3,10.6741823330449,100.99,63.6811239874379,22.260929107666
ZAF,2014,66.259,63.38,60.062,64.312,35.688,1.57629422132566,6.12983770287145,5.36654618468381,381198869776.106,6965.1378973693,-0.172220609328434,371745234720.224,1.02189399625968,73624988316.5505,85.9,10.2716537401097,102.95,63.6963101332591,19.8092403411865
ZAF,2013,65.267,62.533,59.352,63.793,36.207,1.36162110707575,5.78446909667191,5.84411140067347,400886013595.573,7441.23085399675,1.09946173503064,391194711860.894,1.02779402383821,76494561791.4655,85.2,9.82011647815854,97.4,63.8663333377077,19.9304904937744
ZAF,2012,64.449,61.846,58.775,63.272,36.728,1.32915852455183,5.72465791678303,4.68520638813985,434400545085.811,8173.8691381716,1.04422917046858,423516734077.151,1.03352274081458,81756551200.38,85.2,8.85234120440493,92.16,64.3015270653663,19.1436595916748
ZAF,2011,63.111,60.651,57.731,62.746,37.254,1.26340561811428,4.99926696965254,5.53905643151262,458199486480.576,8737.04111019993,1.87331822630892,447479670537.073,1.00265340405471,83370052640.258,83.6,8.34447855065674,89.21,62.9327761615815,19.6080207824707
